// ID-X-Y-Z-W

//Edgeville
spawn - 506	3079	3509	0	1	Edge General Store
spawn - 315	3098	3503	0	1	Emblem Trader
spawn - 4306	3087	3484	0	1	Wise old man
spawn - 1306	3084	3492	0	1	Make-over Mage
spawn - 2200	3079	3517	0	1	Richard
spawn - 3894	3096	3507	0	5	Sigmund The Merchant
spawn - 1304	3095	3507	0	5	Noterazzo
spawn - 505	3096	3513	0	3	Bob
spawn - 5362	3095	3513	0	3	Obli
spawn - 6599	3094	3504	0	0	Mandrith
spawn - 954	3087	3509	0	1	Weird Old Man
spawn - 394	3096	3491	0	4	Banker
spawn - 394	3096	3489	0	4	Banker
spawn - 394	3096	3492	0	5	Banker
spawn - 394	3098	3492	0	5	Banker

//Wilderness bosses
spawn - 6609	3312	3840	0	1	Callisto
spawn - 2098	3043	10319	0	1	HillGiant
spawn - 2098	3046	10316	0	1	HillGiant
spawn - 291	3046	10308	0	1	Dwarf
spawn - 291	3045	10312	0	1	Dwarf

//Scorpia
spawn - 6615	3237	10343	0	1	Scorpia
spawn - 6616	3225	10335	0	1	Scorpia's offspring
spawn - 6616	3222	10335	0	1	Scorpia's offspring
spawn - 6616	3225	10342	0	1	Scorpia's offspring
spawn - 6616	3233	10342	0	1	Scorpia's offspring
spawn - 6616	3222	10343	0	1	Scorpia's offspring
spawn - 6616	3221	10346	0	1	Scorpia's offspring
spawn - 6616	3223	10347	0	1	Scorpia's offspring
spawn - 6616	3222	10349	0	1	Scorpia's offspring
spawn - 6616	3225	10350	0	1	Scorpia's offspring
spawn - 6616	3230	10343	0	1	Scorpia's offspring
spawn - 6616	3236	10348	0	1	Scorpia's offspring
spawn - 6616	3239	10348	0	1	Scorpia's offspring
spawn - 6616	3245	10350	0	1	Scorpia's offspring
spawn - 6616	3245	10347	0	1	Scorpia's offspring
spawn - 6616	3241	10348	0	1	Scorpia's offspring
spawn - 6616	3242	10343	0	1	Scorpia's offspring
spawn - 6616	3244	10340	0	1	Scorpia's offspring
spawn - 6616	3244	10334	0	1	Scorpia's offspring
spawn - 6616	3245	10336	0	1	Scorpia's offspring
spawn - 6616	3238	10335	0	1	Scorpia's offspring
spawn - 6616	3233	10334	0	1	Scorpia's offspring
spawn - 6616	3229	10336	0	1	Scorpia's offspring
spawn - 6616	3237	10339	0	1	Scorpia's offspring
spawn - 6616	3240	10342	0	1	Scorpia's offspring
spawn - 6616	3237	10345	0	1	Scorpia's offspring
spawn - 6616	3227	10341	0	1	Scorpia's offspring
spawn - 6616	3222	10340	0	1	Scorpia's offspring
//Venenatis
spawn - 6610	3236	3755	0	1	Venenatis
//Vetion
spawn - 6611	3183	3794	0	1	Vetion

spawn - 319	2992	4384	2	1	Corporeal Beast

spawn - 732	3008	3373	0	1	Farmer
spawn - 3078	3000	3379	0	1	Man
spawn - 2580	3203	3422	0	0	Mage of Zamorak


spawn - 394	3256	3418	0	0	Banker
spawn - 394	3255	3418	0	0	Banker
spawn - 394	3254	3418	0	0	Banker
spawn - 394	3253	3418	0	0	Banker
spawn - 394	3252	3418	0	0	Banker
spawn - 394	3251	3418	0	0	Banker

spawn - 394	3187	3436	0	0	Banker
spawn - 394	3187	3438	0	0	Banker
spawn - 394	3187	3440	0	0	Banker
spawn - 394	3187	3442	0	0	Banker
spawn - 394	3187	3444	0	0	Banker

spawn - 394	2945	3366	0	0	Banker
spawn - 394	2946	3366	0	0	Banker
spawn - 394	2947	3366	0	0	Banker
spawn - 394	2948	3366	0	0	Banker
spawn - 394	2949	3366	0	0	Banker

spawn - 394	3010	3353	0	0	Banker
spawn - 394	3011	3353	0	0	Banker
spawn - 394	3012	3353	0	0	Banker
spawn - 394	3013	3353	0	0	Banker
spawn - 394	3014	3353	0	0	Banker
spawn - 394	3015	3353	0	0	Banker
spawn - 394	2846	3540	0	1	Banker

spawn - 394	3096	3492	0	0	Banker
spawn - 394	3098	3492	0	0	Banker
spawn - 394	3096	3491	0	0	Banker
spawn - 394	3096	3489	0	0	Banker



/*Giant moles*/
spawn - 5779	1761	5188	0	1	Giant mole	

/*Relleka slayer dungeon*/
spawn - 406	2797	9996	0	1	cave crawler
spawn - 406	2793	9998	0	1	cave crawler
spawn - 406	2792	9993	0	1	cave crawler
spawn - 406	2790	9997	0	1	cave crawler
spawn - 406	2787	9994	0	1	cave crawler
spawn - 406	2784	9995	0	1	cave crawler
spawn - 406	2782	10000	0	1	cave crawler
spawn - 406	2785	9999	0	1	cave crawler
spawn - 3209	2802	10015	0	1	CaveHorror
spawn - 3209	2797	10015	0	1	CaveHorror
spawn - 3209	2799	10017	0	1	CaveHorror
spawn - 3209	2802	10020	0	1	CaveHorror
spawn - 3209	2806	10021	0	1	CaveHorror
spawn - 3209	2803	10023	0	1	CaveHorror
spawn - 419	2799	10030	0	1	Cockatrice	
spawn - 419	2795	10031	0	1	Cockatrice
spawn - 419	2786	10034	0	1	Cockatrice
spawn - 419	2784	10039	0	1	Cockatrice
spawn - 419	2793	10039	0	1	Cockatrice
spawn - 419	2791	10036	0	0	Cockatrice
spawn - 435	2758	10011	0	1	Pyrefiend
spawn - 435	2756	10008	0	0	Pyrefiend
spawn - 435	2756	10003	0	1	Pyrefiend
spawn - 435	2760	10001	0	1	Pyrefiend
spawn - 435	2765	10000	0	1	Pyrefiend
spawn - 435	2766	10003	0	1	Pyrefiend
spawn - 435	2764	10006	0	0	Pyrefiend
spawn - 435	2762	10008	0	1	Pyrefiend
spawn - 435	2759	9995	0	1	Pyrefiend
spawn - 417	2742	10002	0	1	Basilisk	
spawn - 417	2738	10005	0	1	Basilisk
spawn - 417	2741	10010	0	1	Basilisk
spawn - 417	2739	10008	0	1	Basilisk
spawn - 417	2740	10014	0	1	Basilisk
spawn - 417	2744	10013	0	1	Basilisk
